#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2026-03-20-12-22-24
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	ip_proto
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]	count
1774023980.024887	CaBNju3ur222Dtchbc	10.124.150.149	8624	10.124.150.11	3000	tcp	http	0.364110	756	405	SF	T	T	0	ShADadfF	5	968	5	617	-	6
1774023980.024922	Cuv4Nm4rUiXiSfs6m8	10.124.150.149	26954	10.124.150.11	3000	tcp	http	0.582206	650	7001	SF	T	T	0	ShADadfF	6	902	7	7293	-	6
1774023980.123822	CTMnh837PVnWgO66k8	10.124.150.149	15417	10.124.150.11	3000	tcp	http	0.689381	454	100	SF	T	T	0	ShADadfF	5	666	5	312	-	6
1774023980.840004	C0jQJYyBWa9ShG0w7	10.124.150.149	7179	10.124.150.11	3000	tcp	http	0.320168	489	391	SF	T	T	0	ShADadfF	5	701	5	603	-	6
1774023981.160216	CBLePb1JbgzVN3VE5b	10.124.150.149	10676	10.124.150.11	3000	tcp	http	0.419262	534	6929	SF	T	T	0	ShADadftF	8	890	8	8307	-	6
1774023987.497607	CDsDNo1M9XGldasvQl	10.124.150.149	58630	10.124.150.11	3000	tcp	http	0.623695	781	405	SF	T	T	0	ShADadfF	5	993	5	617	-	6
1774023987.526030	CRGdNS2gctebeigO82	10.124.150.149	52617	10.124.150.11	3000	tcp	http	1.273176	675	7001	SF	T	T	0	ShADadftTF	9	1746	9	8503	-	6
1774023988.800908	COJDbZ3FSopyidZkjb	10.124.150.149	11961	10.124.150.11	3000	tcp	http	0.513261	454	100	SF	T	T	0	ShADadfF	5	666	5	312	-	6
1774023989.048928	CSpAvYwLNIWx0Jiq4	10.124.150.149	57153	10.124.150.11	3000	tcp	http	0.372176	489	391	SF	T	T	0	ShADadfF	5	701	5	603	-	6
1774023989.421132	CNE89D4ihINrciuE4g	10.124.150.149	49675	10.124.150.11	3000	tcp	http	0.384829	534	6929	SF	T	T	0	ShADadfF	6	786	7	7221	-	6
